,Season,Age,Squad,Country,Comp,LgRank,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,G+A,G+A-PK,xG,npxG,xAG,npxG+xAG,xG+xAG,Matches
0,2004-2005,17,"('Barcelona', '/en/squads/206d90db/2004-2005/c12/Barcelona-Stats-La-Liga')","('ESP', '/en/country/ESP/Spain-Football')","('La Liga', '/en/comps/12/2004-2005/2004-2005-La-Liga-Stats')",1st,7,0,70,0.8,1.29,0.00,1.29,0,0,0,0,1.29,1.29,,,,,,"('Matches', '/en/players/d70ce98e/matchlogs/2004-2005/summary/Lionel-Messi-Match-Logs')"
1,2005-2006,18,"('Barcelona', '/en/squads/206d90db/2005-2006/c12/Barcelona-Stats-La-Liga')","('ESP', '/en/country/ESP/Spain-Football')","('La Liga', '/en/comps/12/2005-2006/2005-2006-La-Liga-Stats')",1st,17,11,911,10.1,0.59,0.30,0.59,0,0,2,0,0.89,0.89,,,,,,"('Matches', '/en/players/d70ce98e/matchlogs/2005-2006/summary/Lionel-Messi-Match-Logs')"
2,2006-2007,19,"('Barcelona', '/en/squads/206d90db/2006-2007/c12/Barcelona-Stats-La-Liga')","('ESP', '/en/country/ESP/Spain-Football')","('La Liga', '/en/comps/12/2006-2007/2006-2007-La-Liga-Stats')",2nd,26,23,"1,983",22.0,0.64,0.14,0.64,0,0,2,0,0.77,0.77,,,,,,"('Matches', '/en/players/d70ce98e/matchlogs/2006-2007/summary/Lionel-Messi-Match-Logs')"
3,2007-2008,20,"('Barcelona', '/en/squads/206d90db/2007-2008/c12/Barcelona-Stats-La-Liga')","('ESP', '/en/country/ESP/Spain-Football')","('La Liga', '/en/comps/12/2007-2008/2007-2008-La-Liga-Stats')",3rd,27,23,"1,973",21.9,0.46,0.55,0.27,4,4,2,0,1.00,0.82,,,,,,"('Matches', '/en/players/d70ce98e/matchlogs/2007-2008/summary/Lionel-Messi-Match-Logs')"
4,2008-2009,21,"('Barcelona', '/en/squads/206d90db/2008-2009/c12/Barcelona-Stats-La-Liga')","('ESP', '/en/country/ESP/Spain-Football')","('La Liga', '/en/comps/12/2008-2009/2008-2009-La-Liga-Stats')",1st,31,27,"2,516",28.0,0.82,0.39,0.72,3,4,2,0,1.22,1.11,,,,,,"('Matches', '/en/players/d70ce98e/matchlogs/2008-2009/summary/Lionel-Messi-Match-Logs')"
5,2009-2010,22,"('Barcelona', '/en/squads/206d90db/2009-2010/c12/Barcelona-Stats-La-Liga')","('ESP', '/en/country/ESP/Spain-Football')","('La Liga', '/en/comps/12/2009-2010/2009-2010-La-Liga-Stats')",1st,35,30,"2,805",31.2,1.09,0.29,1.06,1,1,3,0,1.38,1.35,,,,,,"('Matches', '/en/players/d70ce98e/matchlogs/2009-2010/summary/Lionel-Messi-Match-Logs')"
6,2010-2011,23,"('Barcelona', '/en/squads/206d90db/2010-2011/c12/Barcelona-Stats-La-Liga')","('ESP', '/en/country/ESP/Spain-Football')","('La Liga', '/en/comps/12/2010-2011/2010-2011-La-Liga-Stats')",1st,33,31,"2,858",31.8,0.98,0.60,0.85,4,4,3,0,1.57,1.45,,,,,,"('Matches', '/en/players/d70ce98e/matchlogs/2010-2011/summary/Lionel-Messi-Match-Logs')"
7,2011-2012,24,"('Barcelona', '/en/squads/206d90db/2011-2012/c12/Barcelona-Stats-La-Liga')","('ESP', '/en/country/ESP/Spain-Football')","('La Liga', '/en/comps/12/2011-2012/2011-2012-La-Liga-Stats')",2nd,37,36,"3,270",36.3,1.38,0.44,1.10,10,11,6,0,1.82,1.54,,,,,,"('Matches', '/en/players/d70ce98e/matchlogs/2011-2012/summary/Lionel-Messi-Match-Logs')"
8,2012-2013,25,"('Barcelona', '/en/squads/206d90db/2012-2013/c12/Barcelona-Stats-La-Liga')","('ESP', '/en/country/ESP/Spain-Football')","('La Liga', '/en/comps/12/2012-2013/2012-2013-La-Liga-Stats')",1st,32,28,"2,650",29.4,1.56,0.37,1.43,4,4,1,0,1.94,1.80,,,,,,"('Matches', '/en/players/d70ce98e/matchlogs/2012-2013/summary/Lionel-Messi-Match-Logs')"
9,2013-2014,26,"('Barcelona', '/en/squads/206d90db/2013-2014/c12/Barcelona-Stats-La-Liga')","('ESP', '/en/country/ESP/Spain-Football')","('La Liga', '/en/comps/12/2013-2014/2013-2014-La-Liga-Stats')",2nd,31,29,"2,501",27.8,1.01,0.40,0.76,7,8,2,0,1.40,1.15,,,,,,"('Matches', '/en/players/d70ce98e/matchlogs/2013-2014/summary/Lionel-Messi-Match-Logs')"
10,2014-2015,27,"('Barcelona', '/en/squads/206d90db/2014-2015/c12/Barcelona-Stats-La-Liga')","('ESP', '/en/country/ESP/Spain-Football')","('La Liga', '/en/comps/12/2014-2015/2014-2015-La-Liga-Stats')",1st,38,37,"3,375",37.5,1.15,0.48,1.01,5,6,4,0,1.63,1.49,,,,,,"('Matches', '/en/players/d70ce98e/matchlogs/2014-2015/summary/Lionel-Messi-Match-Logs')"
11,2015-2016,28,"('Barcelona', '/en/squads/206d90db/2015-2016/c12/Barcelona-Stats-La-Liga')","('ESP', '/en/country/ESP/Spain-Football')","('La Liga', '/en/comps/12/2015-2016/2015-2016-La-Liga-Stats')",1st,33,31,"2,729",30.3,0.86,0.46,0.76,3,7,3,0,1.32,1.22,,,,,,"('Matches', '/en/players/d70ce98e/matchlogs/2015-2016/summary/Lionel-Messi-Match-Logs')"
12,2016-2017,29,"('Barcelona', '/en/squads/206d90db/2016-2017/c12/Barcelona-Stats-La-Liga')","('ESP', '/en/country/ESP/Spain-Football')","('La Liga', '/en/comps/12/2016-2017/2016-2017-La-Liga-Stats')",2nd,34,32,"2,830",31.4,1.18,0.29,0.99,6,7,6,0,1.46,1.27,,,,,,"('Matches', '/en/players/d70ce98e/matchlogs/2016-2017/summary/Lionel-Messi-Match-Logs')"
13,2017-2018,30,"('Barcelona', '/en/squads/206d90db/2017-2018/c12/Barcelona-Stats-La-Liga')","('ESP', '/en/country/ESP/Spain-Football')","('La Liga', '/en/comps/12/2017-2018/2017-2018-La-Liga-Stats')",1st,36,32,"3,000",33.3,1.02,0.36,0.96,2,4,3,0,1.38,1.32,0.81,0.72,0.42,1.14,1.23,"('Matches', '/en/players/d70ce98e/matchlogs/2017-2018/summary/Lionel-Messi-Match-Logs')"
14,2018-2019,31,"('Barcelona', '/en/squads/206d90db/2018-2019/c12/Barcelona-Stats-La-Liga')","('ESP', '/en/country/ESP/Spain-Football')","('La Liga', '/en/comps/12/2018-2019/2018-2019-La-Liga-Stats')",1st,34,29,"2,713",30.1,1.19,0.43,1.06,4,5,3,0,1.63,1.49,0.79,0.66,0.48,1.14,1.27,"('Matches', '/en/players/d70ce98e/matchlogs/2018-2019/summary/Lionel-Messi-Match-Logs')"
15,2019-2020,32,"('Barcelona', '/en/squads/206d90db/2019-2020/c12/Barcelona-Stats-La-Liga')","('ESP', '/en/country/ESP/Spain-Football')","('La Liga', '/en/comps/12/2019-2020/2019-2020-La-Liga-Stats')",2nd,33,32,"2,880",32.0,0.78,0.66,0.62,5,5,4,0,1.44,1.28,0.61,0.48,0.48,0.96,1.09,"('Matches', '/en/players/d70ce98e/matchlogs/2019-2020/summary/Lionel-Messi-Match-Logs')"
16,2020-2021,33,"('Barcelona', '/en/squads/206d90db/2020-2021/c12/Barcelona-Stats-La-Liga')","('ESP', '/en/country/ESP/Spain-Football')","('La Liga', '/en/comps/12/2020-2021/2020-2021-La-Liga-Stats')",3rd,35,33,"3,023",33.6,0.89,0.27,0.80,3,5,4,0,1.16,1.07,0.66,0.53,0.28,0.81,0.94,"('Matches', '/en/players/d70ce98e/matchlogs/2020-2021/summary/Lionel-Messi-Match-Logs')"
17,2021-2022,34,"('Paris S-G', '/en/squads/e2d8892c/2021-2022/c13/Paris-Saint-Germain-Stats-Ligue-1')","('FRA', '/en/country/FRA/France-Football')","('Ligue 1', '/en/comps/13/2021-2022/2021-2022-Ligue-1-Stats')",1st,26,24,"2,153",23.9,0.25,0.59,0.25,0,0,0,0,0.84,0.84,0.47,0.47,0.39,0.86,0.86,"('Matches', '/en/players/d70ce98e/matchlogs/2021-2022/summary/Lionel-Messi-Match-Logs')"
18,2022-2023,35,"('Paris S-G', '/en/squads/e2d8892c/2022-2023/c13/Paris-Saint-Germain-Stats-Ligue-1')","('FRA', '/en/country/FRA/France-Football')","('Ligue 1', '/en/comps/13/Ligue-1-Stats')",1st,13,13,"1,127",12.5,0.56,0.80,0.56,0,0,0,0,1.36,1.36,0.59,0.59,0.39,0.98,0.98,"('Matches', '/en/players/d70ce98e/matchlogs/2022-2023/summary/Lionel-Messi-Match-Logs')"
